,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
0,0,,2024-01-21 00:09:04.346646,2024-01-21 00:09:04.366071,0 days 00:00:00.019425,,,,,,,,,,FAIL
1,1,,2024-01-21 00:19:48.582048,2024-01-21 00:19:48.603932,0 days 00:00:00.021884,16.0,1000000.0,0.95,0.2876504143254696,small,0.9437480785146242,ornstein-uhlenbeck,0.001,4.0,FAIL
2,2,,2024-01-21 00:21:54.077413,2024-01-21 00:21:54.100181,0 days 00:00:00.022768,16.0,1000000.0,0.95,0.2876504143254696,small,0.9437480785146242,ornstein-uhlenbeck,0.001,4.0,FAIL
3,3,,2024-01-21 00:22:33.669201,2024-01-21 00:22:33.693449,0 days 00:00:00.024248,16.0,1000000.0,0.95,0.2876504143254696,small,0.9437480785146242,ornstein-uhlenbeck,0.001,4.0,FAIL
4,4,-423.90176280000003,2024-01-21 00:24:24.148706,2024-01-21 00:26:02.570250,0 days 00:01:38.421544,16.0,1000000.0,0.95,0.2876504143254696,small,0.9437480785146242,ornstein-uhlenbeck,0.001,4.0,COMPLETE
5,5,-218.81754899999996,2024-01-21 00:26:02.578641,2024-01-21 00:27:42.589883,0 days 00:01:40.011242,64.0,10000.0,0.9,0.0006584970818505349,big,0.317983179393976,normal,0.05,32.0,COMPLETE
6,6,-1072.2702974,2024-01-21 00:27:42.597212,2024-01-21 00:29:22.785331,0 days 00:01:40.188119,512.0,1000000.0,0.999,0.021729608403132785,small,0.9560836347232239,normal,0.08,512.0,COMPLETE
7,7,-332.91754480000003,2024-01-21 00:29:22.793560,2024-01-21 00:31:00.745036,0 days 00:01:37.951476,512.0,10000.0,0.98,0.0003100356463963265,small,0.9755215050028858,,0.02,16.0,COMPLETE
8,8,-245.31546260000005,2024-01-21 00:31:00.751388,2024-01-21 00:32:48.374785,0 days 00:01:47.623397,2048.0,10000.0,0.9999,0.00013171142252691134,big,0.6793927734985673,ornstein-uhlenbeck,0.08,1.0,COMPLETE
9,9,,2024-01-21 00:32:48.381384,2024-01-21 00:32:56.591799,0 days 00:00:08.210415,1024.0,100000.0,0.9,0.0008266458139417841,big,0.14484775934337724,normal,0.01,32.0,FAIL
